yourlist:M20190514216DA2B77BFBD2E6699CA9B6D1C41EB217BE5C9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1lca	P00469	TYSY_LACCA	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA	Lactobacillus casei	316
1lcl	Q05315	LEG10_HUMAN	reviewed	Galectin-10 (Gal-10) (Charcot-Leyden crystal protein) (CLC) (Eosinophil lysophospholipase) (Lysolecithin acylhydrolase)	CLC LGALS10 LGALS10A	Homo sapiens (Human)	142
1led	P24146	LEC4_GRISI	reviewed	Lectin-4 (GS4) (Lectin IV)		Griffonia simplicifolia (Bandeiraea simplicifolia)	243
1lkz	P0A7Z0	RPIA_ECOLI	reviewed	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	rpiA ygfC b2914 JW5475	Escherichia coli (strain K12)	219
1llf	P32947	LIP3_DIURU	reviewed	Lipase 3 (EC 3.1.1.3) (Cholesterol esterase)	LIP3	Diutina rugosa (Yeast) (Candida rugosa)	549
1llf	Q6S5M9	Q6S5M9_9ASCO	unreviewed	Lipase (EC 3.1.1.3) (Fragment)		[Candida] cylindracea	549
1lnc	P00800	THER_BACTH	reviewed	Thermolysin (EC 3.4.24.27) (Thermostable neutral proteinase)	npr	Bacillus thermoproteolyticus	548
1lpf	P14218	DLDH_PSEFL	reviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of 2-oxoglutarate dehydrogenase complex)	lpd	Pseudomonas fluorescens	478
1lvl	P09063	DLDH1_PSEPU	reviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of branched-chain alpha-keto acid dehydrogenase complex) (LPD-Val)	lpdV	Pseudomonas putida (Arthrobacter siderocapsulatus)	459
1lwh	P80099	MGTA_THEMA	reviewed	4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme) (D-enzyme)	mgtA TM_0364	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	441
1lxe	P32196	PG3_PIG	reviewed	Protegrin-3 (PG-3)	NPG3	Sus scrofa (Pig)	149
1lyn	P04552	ELYS_HALRU	reviewed	Egg-lysin (Sperm-lysin)		Haliotis rufescens (California red abalone)	154
1m0u	P41043	GSTS1_DROME	reviewed	Glutathione S-transferase S1 (EC 2.5.1.18) (GST class-sigma 1) (Glutathione S-transferase 2)	GstS1 GST2 GSTS1-1 CG8938	Drosophila melanogaster (Fruit fly)	249
1m0w	Q08220	GSHB_YEAST	reviewed	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	GSH2 YOL049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	491
1m2z	P04150	GCR_HUMAN	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	NR3C1 GRL	Homo sapiens (Human)	777
1m2z	Q15596	NCOA2_HUMAN	reviewed	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464
1m6j	O02611	TPIS_ENTHI	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI	Entamoeba histolytica	261
1m7y	P37821	1A1C_MALDO	reviewed	1-aminocyclopropane-1-carboxylate synthase (ACC synthase) (EC 1.4.-.-) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase)	ACS-1	Malus domestica (Apple) (Pyrus malus)	473
1map	P00508	AATM_CHICK	reviewed	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Transaminase A)	GOT2	Gallus gallus (Chicken)	423
1mb4	Q9KQG2	DHAS1_VIBCH	reviewed	Aspartate-semialdehyde dehydrogenase 1 (ASA dehydrogenase 1) (ASADH 1) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase 1)	asd1 VC_2036	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	370
1mer	P03366	POL_HV1B1	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	1447
1mg5	P00334	ADH_DROME	reviewed	Alcohol dehydrogenase (EC 1.1.1.1)	Adh CG3481	Drosophila melanogaster (Fruit fly)	256
1mh9	Q9NPB1	NT5M_HUMAN	reviewed	5'(3')-deoxyribonucleotidase, mitochondrial (5',3'-nucleotidase, mitochondrial) (EC 3.1.3.-) (Deoxy-5'-nucleotidase 2) (dNT-2)	NT5M DNT2	Homo sapiens (Human)	228
1mjf	Q8U4G1	SPEE_PYRFU	reviewed	Polyamine aminopropyltransferase (1,3-diaminopropane aminopropyltransferase) (EC 2.5.1.23) (Agmatine aminopropyltransferase) (Agmatine/cadaverine aminopropyltransferase) (Cadaverine aminopropyltransferase) (EC 2.5.1.-) (N(1)-aminopropylagmatine synthase) (EC 2.5.1.104) (Putrescine aminopropyltransferase) (PAPT) (EC 2.5.1.16) (Spermidine synthase) (SPDS) (SPDSY) (Sym-norspermidine synthase)	speE PF0127	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	281
1mk4	P54562	YQJY_BACSU	reviewed	Uncharacterized protein YqjY	yqjY BSU23690	Bacillus subtilis (strain 168)	156
1mka	P0A6Q3	FABA_ECOLI	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA b0954 JW0937	Escherichia coli (strain K12)	172
1mo9	Q56839	XECC_XANP2	reviewed	2-oxopropyl-CoM reductase, carboxylating (EC 1.8.1.5) (Aliphatic epoxide carboxylation component II) (NADPH:2-ketopropyl-CoM carboxylase/oxidoreductase) (2-KPCC)	xecC Xaut_4867	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	523
1moe	P01660	KV3A8_MOUSE	reviewed	Ig kappa chain V-III region PC 3741/TEPC 111		Mus musculus (Mouse)	111
1moe	Q5R3X1	Q5R3X1_MOUSE	unreviewed	V(H) region of G5 Bb 2.2 (Fragment)		Mus musculus (Mouse)	114
1mp9	Q9UWN7	TBP_SULAC	reviewed	TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)	tbp Saci_1336	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	197
1mpu	P26718	NKG2D_HUMAN	reviewed	NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314)	KLRK1 D12S2489E NKG2D	Homo sapiens (Human)	216
1mqq	Q8VVD2	Q8VVD2_GEOSE	unreviewed	Xylan alpha-1,2-glucuronidase (EC 3.2.1.131)	aguA	Geobacillus stearothermophilus (Bacillus stearothermophilus)	679
1mqw	O33199	O33199_MYCTO	unreviewed	MutT/nudix family protein	MT1739	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	207
1mr8	P05109	S10A8_HUMAN	reviewed	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	Homo sapiens (Human)	93
1msc	P03612	CAPSD_BPMS2	reviewed	Capsid protein (CP) (Coat protein)		Escherichia phage MS2 (Bacteriophage MS2)	130
1my6	Q8DIR2	Q8DIR2_THEEB	unreviewed	Superoxide dismutase (EC 1.15.1.1)	sodB	Thermosynechococcus elongatus (strain BP-1)	200
1myr	P29736	MYRA_SINAL	reviewed	Myrosinase MA1 (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase)		Sinapis alba (White mustard) (Brassica hirta)	501
1mzh	O66540	DEOC_AQUAE	reviewed	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC aq_148	Aquifex aeolicus (strain VF5)	219
1mzj	Q9F6D4	FABH_STRLI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH zhuH	Streptomyces lividans	339
1mzv	O77103	O77103_LEITA	unreviewed	Adenine phosphoribosyltransferase (EC 2.4.2.7)	aprt	Leishmania tarentolae (Sauroleishmania tarentolae)	235
1n0h	P07342	ILVB_YEAST	reviewed	Acetolactate synthase catalytic subunit, mitochondrial (EC 2.2.1.6) (Acetohydroxy-acid synthase catalytic subunit) (AHAS) (ALS)	ILV2 SMR1 YMR108W YM9718.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	687
1n1a	Q02790	FKBP4_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52	Homo sapiens (Human)	459
1n1z	O81192	BPPS_SALOF	reviewed	(+)-bornyl diphosphate synthase, chloroplastic (BPPS) (EC 5.5.1.8) ((+)-alpha-pinene synthase) (EC 4.2.3.121) ((+)-camphene synthase) (EC 4.2.3.116) (SBS)		Salvia officinalis (Sage)	598
1n2l	P15289	ARSA_HUMAN	reviewed	Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C]	ARSA	Homo sapiens (Human)	507
1n31	Q9ZHG9	Q9ZHG9_SYNY4	unreviewed	L-cysteine/cystine lyase C-DES	c-des	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	393
1n57	P31658	HCHA_ECOLI	reviewed	Protein/nucleic acid deglycase 1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Glyoxalase III) (EC 4.2.1.130) (Holding molecular chaperone) (Hsp31) (Maillard deglycase)	hchA yedU yzzC b1967 JW1950	Escherichia coli (strain K12)	283
1n5i	P9WKE1	KTHY_MYCTU	reviewed	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	tmk Rv3247c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	214
1n5s	Q53908	Q53908_STRCH	unreviewed	ActVA 6 protein	actVA 6	Streptomyces coelicolor	113
1n6m	P20480	NCD_DROME	reviewed	Protein claret segregational	ncd CA(ND) CG7831	Drosophila melanogaster (Fruit fly)	700
1nbq	Q9Y624	JAM1_HUMAN	reviewed	Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321)	F11R JAM1 JCAM UNQ264/PRO301	Homo sapiens (Human)	299
1nc3	P0AF12	MTNN_ECOLI	reviewed	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (P46) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN mtn pfs yadA b0159 JW0155	Escherichia coli (strain K12)	232
1nf8	P0DPC1	PHZD2_PSEAE	reviewed	Phenazine biosynthesis protein PhzD2 (2-amino-4-deoxychorismate hydrolase) (EC 3.3.2.15) (Isochorismatase) (Trans-2,3-dihydro-3-hydroxyanthranilic acid synthase)	phzD2 phzD PA1902	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	207
1nhj	P23367	MUTL_ECOLI	reviewed	DNA mismatch repair protein MutL	mutL b4170 JW4128	Escherichia coli (strain K12)	615
1nl3	P9WGP5	SECA1_MYCTU	reviewed	Protein translocase subunit SecA 1 (tbSecA)	secA1 Rv3240c MTCY20B11.15c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	949
1nmx	P23919	KTHY_HUMAN	reviewed	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	DTYMK CDC8 TMPK TYMK	Homo sapiens (Human)	212
1nni	O07529	AZR_BACSU	reviewed	FMN-dependent NADPH-azoreductase (EC 1.7.-.-) (Azobenzene reductase)	azr yhdA BSU09340	Bacillus subtilis (strain 168)	174
1npd	P0A6D5	YDIB_ECOLI	reviewed	Quinate/shikimate dehydrogenase (EC 1.1.1.282) (NAD-dependent shikimate 5-dehydrogenase)	ydiB	Escherichia coli (strain K12)	288
1nri	P44862	MURQ_HAEIN	reviewed	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ HI_0754	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	303
1nrv	Q13322	GRB10_HUMAN	reviewed	Growth factor receptor-bound protein 10 (GRB10 adapter protein) (Insulin receptor-binding protein Grb-IR)	GRB10 GRBIR KIAA0207	Homo sapiens (Human)	594
1ns5	P0A8I8	RLMH_ECOLI	reviewed	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH ybeA b0636 JW0631	Escherichia coli (strain K12)	155
1nsj	Q56320	TRPF_THEMA	reviewed	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF TM_0139	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	205
1nvd	P07547	ARO1_EMENI	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	aromA aroA aroM AN0708	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	1583
1nvt	Q58484	AROE_METJA	reviewed	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE MJ1084	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	282
1nx2	P04574	CPNS1_PIG	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	CAPNS1 CAPN4	Sus scrofa (Pig)	266
1nyw	Q8GIQ0	Q8GIQ0_STRSU	unreviewed	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	rmlC ELX55_09505 LI88_04185	Streptococcus suis	197
1o4s	Q9X0Y2	AAT_THEMA	reviewed	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC TM_1255	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	377
1o4t	Q9X113	OXBP_THEMA	reviewed	Oxalate-binding protein (Putative oxalate decarboxylase)	TM_1287	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	121
1o7x	P80148	CISY_SACS2	reviewed	Citrate synthase (EC 2.3.3.16)	gltA SSO2589	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	377
1o80	P02778	CXL10_HUMAN	reviewed	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)]	CXCL10 INP10 SCYB10	Homo sapiens (Human)	98
1o89	P26646	ACUI_ECOLI	reviewed	Probable acrylyl-CoA reductase AcuI (EC 1.3.1.84) (Acryloyl-coenzyme A reductase AcuI)	acuI yhdH b3253 JW3222	Escherichia coli (strain K12)	324
1o9e	P93343	1433C_TOBAC	reviewed	14-3-3-like protein C (14-3-3-like protein B)		Nicotiana tabacum (Common tobacco)	260
1o9l	Q29551	SCOT1_PIG	reviewed	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)	OXCT1 OXCT SCOT	Sus scrofa (Pig)	520
1oah	Q8VNU2	Q8VNU2_DESDE	unreviewed	Nitrite reductase (cytochrome; ammonia-forming) (EC 1.7.2.2) (Fragment)	nrfA	Desulfovibrio desulfuricans	514
1oan	P12823	POLG_DEN2P	reviewed	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]		Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2)	3388
1oat	P04181	OAT_HUMAN	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	OAT	Homo sapiens (Human)	439
1od2	Q00955	ACAC_YEAST	reviewed	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACC1 ABP2 FAS3 MTR7 YNR016C N3175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2233
1odb	P80511	S10AC_HUMAN	reviewed	Protein S100-A12 (CGRP) (Calcium-binding protein in amniotic fluid 1) (CAAF1) (Calgranulin-C) (CAGC) (Extracellular newly identified RAGE-binding protein) (EN-RAGE) (Migration inhibitory factor-related protein 6) (MRP-6) (p6) (Neutrophil S100 protein) (S100 calcium-binding protein A12) [Cleaved into: Calcitermin]	S100A12	Homo sapiens (Human)	92
1ofn	O52806	O52806_AMYOR	unreviewed	PCZA361.16		Amycolatopsis orientalis (Nocardia orientalis)	205
1oki	P53674	CRBB1_HUMAN	reviewed	Beta-crystallin B1 (Beta-B1 crystallin)	CRYBB1	Homo sapiens (Human)	252
1onf	Q94655	GSHR_PLAFK	reviewed	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)	GR2	Plasmodium falciparum (isolate K1 / Thailand)	500
1ord	P43099	DCOR_LACS3	reviewed	Inducible ornithine decarboxylase (ODC) (EC 4.1.1.17)	odcI	Lactobacillus sp. (strain 30a)	731
1orf	P12544	GRAA_HUMAN	reviewed	Granzyme A (EC 3.4.21.78) (CTL tryptase) (Cytotoxic T-lymphocyte proteinase 1) (Fragmentin-1) (Granzyme-1) (Hanukkah factor) (H factor) (HF)	GZMA CTLA3 HFSP	Homo sapiens (Human)	262
1ov3	P14598	NCF1_HUMAN	reviewed	Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox)	NCF1 NOXO2 SH3PXD1A	Homo sapiens (Human)	390
1ov4	Q06520	ST2A1_HUMAN	reviewed	Bile salt sulfotransferase (EC 2.8.2.14) (Dehydroepiandrosterone sulfotransferase) (DHEA-ST) (Hydroxysteroid Sulfotransferase) (HST) (ST2) (ST2A3) (Sulfotransferase 2A1) (ST2A1)	SULT2A1 HST STD	Homo sapiens (Human)	285
1ox7	Q12178	FCY1_YEAST	reviewed	Cytosine deaminase (EC 3.5.4.1) (Cytosine aminohydrolase)	FCY1 YPR062W YP9499.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	158
1oyb	Q02899	OYE1_SACPS	reviewed	NADPH dehydrogenase 1 (EC 1.6.99.1) (Old yellow enzyme 1)	OYE1	Saccharomyces pastorianus (Lager yeast) (Saccharomyces cerevisiae x Saccharomyces eubayanus)	400
1p3w	P0A6B7	ISCS_ECOLI	reviewed	Cysteine desulfurase IscS (EC 2.8.1.7) (NifS protein homolog) (ThiI transpersulfidase) (TusA transpersulfidase)	iscS nuvC yfhO yzzO b2530 JW2514	Escherichia coli (strain K12)	404
1p9e	Q841S6	Q841S6_PSEWB	unreviewed	Methyl parathion hydrolase	mpd	Pseudomonas sp. (strain WBC-3)	331
1p9o	Q9HAB8	PPCS_HUMAN	reviewed	Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (Phosphopantothenoylcysteine synthetase) (PPC synthetase)	PPCS COAB	Homo sapiens (Human)	311
1pb1	P08200	IDH_ECOLI	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdA icdE b1136 JW1122	Escherichia coli (strain K12)	416
1pcz	P62001	TBP_PYRWO	reviewed	TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)	tbp	Pyrococcus woesei	191
1pd2	O35543	HPGDS_RAT	reviewed	Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase)	Hpgds Gsts Pgds Ptgds2	Rattus norvegicus (Rat)	199
1pin	Q13526	PIN1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
1piw	Q04894	ADH6_YEAST	reviewed	NADP-dependent alcohol dehydrogenase 6 (EC 1.1.1.2) (NADP-dependent alcohol dehydrogenase VI) (ScADHVI)	ADH6 YMR318C YM9924.10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360
1prh	P05979	PGH1_SHEEP	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX1	Ovis aries (Sheep)	600
1prx	P30041	PRDX6_HUMAN	reviewed	Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Liver 2D page spot 40) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12)	PRDX6 AOP2 KIAA0106	Homo sapiens (Human)	224
1psa	P00791	PEPA_PIG	reviewed	Pepsin A (EC 3.4.23.1)	PGA	Sus scrofa (Pig)	385
1psq	P0C2J8	TPX_STRPN	reviewed	Thiol peroxidase (Tpx) (EC 1.11.1.15) (Peroxiredoxin tpx) (Prx) (Thioredoxin peroxidase)	tpx psaD SP_1651	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	163
1psr	P31151	S10A7_HUMAN	reviewed	Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7)	S100A7 PSOR1 S100A7C	Homo sapiens (Human)	101
1ptm	P19624	PDXA_ECOLI	reviewed	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA b0052 JW0051	Escherichia coli (strain K12)	329
1puc	P08463	CKS1_SCHPO	reviewed	Cyclin-dependent kinases regulatory subunit (P13)	suc1 SPBC1734.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	113
1pv9	P81535	PEPQ_PYRFU	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)	pepQ PF1343	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	348
1py9	Q61885	MOG_MOUSE	reviewed	Myelin-oligodendrocyte glycoprotein	Mog	Mus musculus (Mouse)	246
1pzs	P9WGE9	SODC_MYCTU	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC Rv0432 MTCY22G10.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240
1q3o	Q9WV48	SHAN1_RAT	reviewed	SH3 and multiple ankyrin repeat domains protein 1 (Shank1) (GKAP/SAPAP-interacting protein) (SPANK-1) (Somatostatin receptor-interacting protein) (SSTR-interacting protein) (SSTRIP) (Synamon)	Shank1	Rattus norvegicus (Rat)	2167
1q4j	Q8MU52	GST_PLAFA	reviewed	Glutathione S-transferase (EC 2.5.1.18) (PfGST)	GST	Plasmodium falciparum	211
1q50	P42861	G6PI_LEIME	reviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	PGI	Leishmania mexicana	605
1q6u	P45523	FKBA_ECOLI	reviewed	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA (PPIase) (EC 5.2.1.8) (Rotamase)	fkpA yzzS b3347 JW3309	Escherichia coli (strain K12)	270
