PDB ID	Symmetry group (M - monomer; Dna - dihedral with heterologous interfaces; Dns - dihedral with only isologous interfaces; Ts - tetrahedral with isologous interfaces; Ta - tetrahedral with only heterologous interfaces; O* - 4 different octahedral topologies)	Number of subunits	Number of unique subunits (ie row of the periodic table)	Included in non-redundant set	Year of release	Quaternary structure assignment (C - correct; E - error)	Quaternary structure topology index (complexes with the same index have the same reduced topology)	List of interfaces	List of interface types (all identical subunits are given the same code)	List of interface sizes (Angstroms^2)	List of interface types (I- isologous homomeric; H - heterologous homomeric; T - heteromeric)	Interfaces included in the reduced topology (1 - yes; 0 - no)	
2chl	M	1	1	0	2006	-	-						
2chm	M	1	1	0	2006	C	-						
2chn	M	1	1	1	2006	-	-						
2cho	M	1	1	1	2006	-	-						
2chp	Ts	12	1	0	2007	-	31	"A-B,A-C,A-D,A-F,A-K,B-F,B-I,B-J,B-K,C-D,C-E,C-F,C-H,D-H,D-K,D-L,E-F,E-G,E-H,E-J,F-J,G-H,G-I,G-J,G-L,H-L,I-J,I-K,I-L,K-L"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"2169.7,801.9,884.0,801.9,884.0,884.0,801.9,884.0,801.9,2169.7,884.0,801.9,884.0,801.9,884.0,801.9,2169.7,801.9,884.0,801.9,884.0,2169.7,884.0,801.9,884.0,801.9,2169.7,801.9,884.0,2169.7"	"I,H,H,H,H,H,H,H,H,I,H,H,H,H,H,H,I,H,H,H,H,I,H,H,H,H,I,H,H,I"	"1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1"	
2chr	D4s	8	1	1	1995	C	15	"A-C,A-D,A-F,A-G,B-C,B-D,B-E,B-H,C-E,C-G,D-F,D-H,E-G,E-H,F-G,F-H"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"790.6,790.6,1989.9,2299.8,790.6,790.6,1989.9,2299.8,2299.8,1989.9,2299.8,1989.9,790.6,790.6,790.6,790.6"	"H,H,I,I,H,H,I,I,I,I,I,I,H,H,H,H"	"0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0"	
2chs	C3	3	1	0	1994	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2021.4,2021.4,2021.4"	"H,H,H"	"1,1,1"	
2chu	M	1	1	1	2006	-	-						
2chv	C6	6	1	0	2006	-	32	"A-B,A-F,B-C,C-D,D-E,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F"	"2792.1,2792.1,2792.1,2792.1,2792.1,2792.1"	"H,H,H,H,H,H"	"1,1,1,1,1,1"	
2chw	M	1	1	0	2006	-	-						
2chx	M	1	1	0	2006	-	-						
2chz	M	1	1	0	2006	-	-						
2ci0	M	1	1	0	2007	-	-						
2ci1	M	1	1	0	2006	-	-						
2ci2	C6	6	1	1	1988	-	32	"A-B,A-C,B-D,C-E,D-F,E-F"	"F-F,F-F,F-F,F-F,F-F,F-F"	"1151.4,1151.4,1151.4,1151.4,1151.4,1151.4"	"H,H,H,H,H,H"	"1,1,1,1,1,1"	
2ci3	M	1	1	0	2006	-	-						
2ci4	M	1	1	0	2006	-	-						
2ci5	M	1	1	0	2006	-	-						
2ci6	M	1	1	0	2006	-	-						
2ci7	M	1	1	0	2006	-	-						
2ci8	C2	2	1	1	2006	-	1	A-B	A-A	4225.6	I	1	
2ci9	M	1	1	1	2006	-	-						
2cia	M	1	1	0	2006	-	-						
2cib	M	1	1	0	2007	-	-						
2cic	C2	2	1	0	2007	-	1	A-B	A-A	3867.8	I	1	
2cie	Ta	12	1	0	2006	-	7	"A-B,A-C,A-D,A-E,B-C,B-H,B-J,C-G,C-K,D-E,D-F,D-H,E-G,E-I,F-H,F-I,F-L,G-I,G-K,H-J,I-L,J-K,J-L,K-L"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1016.8,1016.8,792.1,792.1,1016.8,792.1,792.1,792.1,792.1,792.1,1016.8,1016.8,1016.8,1016.8,1016.8,792.1,792.1,1016.8,792.1,792.1,792.1,1016.8,1016.8,1016.8"	"H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	
2cif	Ta	12	1	0	2006	-	7	"A-B,A-C,A-D,A-E,B-C,B-H,B-J,C-G,C-K,D-E,D-F,D-H,E-G,E-I,F-H,F-I,F-L,G-I,G-K,H-J,I-L,J-K,J-L,K-L"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1007.0,1007.0,775.5,775.5,1007.0,775.5,775.5,775.5,775.5,775.5,1007.0,1007.0,1007.0,1007.0,1007.0,775.5,775.5,1007.0,775.5,775.5,775.5,1007.0,1007.0,1007.0"	"H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	
2cig	M	1	1	0	2006	-	-						
2cih	Os	24	1	0	2006	-	18	"A-B,A-C,A-D,A-E,A-F,B-C,B-F,B-I,B-J,C-D,C-J,C-L,D-E,D-G,D-N,E-G,E-K,E-M,F-H,F-I,F-M,G-K,G-N,G-R,H-I,H-M,H-P,H-S,I-S,I-T,J-L,J-O,J-T,K-M,K-P,K-U,L-N,L-O,L-Q,M-P,N-Q,N-R,O-Q,O-T,O-V,P-U,P-X,Q-R,Q-W,R-U,R-W,S-T,S-V,S-X,T-V,U-W,U-X,V-W,V-X,W-X"	"S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S"	"1346.5,1346.5,3050.6,1104.3,1104.3,1346.5,3050.6,1104.3,1104.3,1104.3,3050.6,1104.3,1346.5,1346.5,1104.3,1346.5,3050.6,1104.3,1346.5,1346.5,1104.3,1104.3,3050.6,1104.3,1346.5,3050.6,1104.3,1104.3,3050.6,1104.3,1346.5,1346.5,1104.3,1346.5,1346.5,1104.3,1104.3,1346.5,3050.6,1346.5,1346.5,1346.5,1104.3,3050.6,1104.3,3050.6,1104.3,1346.5,1104.3,1104.3,3050.6,1346.5,1346.5,1104.3,1346.5,1346.5,1346.5,1104.3,3050.6,1346.5"	"H,H,I,H,H,H,I,H,H,H,I,H,H,H,H,H,I,H,H,H,H,H,I,H,H,I,H,H,I,H,H,H,H,H,H,H,H,H,I,H,H,H,H,I,H,I,H,H,H,H,I,H,H,H,H,H,H,H,I,H"	"1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1"	
2cii	M	2	2	0	2006	-	2	A-B	A-B	2674.2	T	1	
2cij	C2	2	1	0	2007	-	1	A-B	A-A	4789.2	I	1	
2cik	M	2	2	0	2006	-	2	A-B	A-B	2606.1	T	1	
2cim	C2	2	1	1	2006	-	1	A-B	A-A	10270.8	I	1	
2cin	C2	2	1	0	2006	-	1	A-B	A-A	8837.1	I	1	
2cio	M	1	1	0	2006	-	-						
2cip	M	1	1	0	2006	-	-						
2ciq	M	1	1	0	2006	-	-						
2cir	M	1	1	1	2006	-	-						
2cis	M	1	1	0	2006	-	-						
2cit	M	1	1	0	2006	-	-						
2ciu	M	1	1	1	2006	-	-						
2cj3	M	1	1	0	2007	-	-						
2cj4	M	1	1	0	2006	-	-						
2cj5	M	1	1	0	2006	-	-						
2cj6	M	1	1	0	2006	-	-						
2cj7	M	1	1	0	2006	-	-						
2cj8	M	1	1	0	2006	-	-						
2cj9	C2	2	1	0	2006	-	1	A-B	A-A	10250.6	I	1	
2cja	C2	2	1	0	2006	-	1	A-B	A-A	10184	I	1	
2cjb	C2	2	1	0	2006	-	1	A-B	A-A	10243.7	I	1	
2cjc	Ta	12	1	0	2006	-	7	"A-B,A-C,A-D,A-E,B-C,B-H,B-J,C-G,C-K,D-E,D-F,D-H,E-G,E-I,F-H,F-I,F-L,G-I,G-K,H-J,I-L,J-K,J-L,K-L"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1010.5,1010.5,798.6,798.6,1010.5,798.6,798.6,798.6,798.6,798.6,1010.5,1010.5,1010.5,1010.5,1010.5,798.6,798.6,1010.5,798.6,798.6,798.6,1010.5,1010.5,1010.5"	"H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	
2cjd	C2	2	1	0	2006	-	1	A-B	A-A	8853	I	1	
2cje	C2	2	1	1	2007	-	1	A-B	A-A	3479.5	I	1	
2cjf	Ts	12	1	0	2007	-	31	"A-B,A-C,A-D,B-C,B-G,C-J,D-E,D-F,E-F,E-L,F-H,G-H,G-I,H-I,I-K,J-K,J-L,K-L"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"1401.4,1401.4,1672.0,1401.4,1672.0,1672.0,1401.4,1401.4,1401.4,1672.0,1672.0,1401.4,1401.4,1401.4,1672.0,1401.4,1401.4,1401.4"	"H,H,I,H,I,I,H,H,H,I,I,H,H,H,I,H,H,H"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	
2cjg	C2	2	1	0	2006	-	1	A-B	A-A	8818	I	1	
2cjh	C2	2	1	0	2006	-	1	A-B	A-A	8856.6	I	1	
2cjj	M	1	1	1	2006	-	-						
2cjl	M	1	1	0	2006	-	-						
2cjm	M	2	2	0	2006	-	2	A-B	A-B	3154.9	T	1	
2cjp	M	1	1	0	2006	-	-						
2cjq	M	1	1	0	2006	-	-						
2cjr	C2	2	1	1	2007	-	1	A-B	A-A	5280.6	I	1	
2cjt	C2	2	1	1	2006	-	1	A-B	A-A	1277.4	I	1	
2cju	M	2	2	0	2006	-	2	A-B	A-B	1599.2	T	1	
2cjx	C2	4	2	0	2006	-	11	"A-B,A-D,A-E,B-D,B-E,D-E"	"A-E,A-A,A-E,E-A,E-E,A-E"	"4422.6,662.1,817.6,817.6,2739.6,4422.6"	"T,I,T,T,I,T"	"1,0,0,0,1,1"	
2cjy	C2	4	2	0	2006	-	11	"A-B,A-D,A-E,B-D,B-E,D-E"	"A-E,A-A,A-E,E-A,E-E,A-E"	"4387.8,647.7,895.4,895.4,3953.2,4387.8"	"T,I,T,T,I,T"	"1,0,0,0,1,1"	
2cjz	M	1	1	1	2006	-	-						
2ck1	M	1	1	0	2007	-	-						
2ck2	C2	2	1	0	2007	-	1	A-B	A-A	1040.4	I	1	
2ckb	M	4	4	0	1998	-	20	"A-B,A-C,B-C,C-E"	"A-B,A-C,B-C,C-E"	"4306.0,991.7,767.2,2652.4"	"T,T,T,T"	"1,1,0,1"	
2ckd	M	1	1	1	2007	-	-						
2cke	M	1	1	0	2007	-	-						
2ckf	C3	6	2	0	2007	-	30	"A-B,A-C,A-E,A-F,B-C,B-D,B-F,C-D,C-E,D-E,D-F,E-F"	"A-F,A-A,A-A,A-F,F-A,F-F,F-F,A-F,A-A,F-A,F-F,A-F"	"3312.2,3003.0,3003.0,591.6,591.6,2183.7,2183.7,3312.2,3003.0,591.6,2183.7,3312.2"	"T,H,H,T,T,H,H,T,H,T,H,T"	"1,1,1,0,0,0,0,1,1,0,0,1"	
2ckg	M	1	1	0	2006	-	-						
2ckh	M	2	2	0	2006	-	2	A-B	A-B	2162.4	T	1	
2cki	C2	2	1	1	2006	-	1	A-B	A-A	2432.5	I	1	
2ckj	C2	2	1	0	2007	-	1	A-B	A-A	5287.5	I	1	
2ckk	M	1	1	1	2006	-	-						
2ckl	M	2	2	0	2006	-	2	A-B	A-B	4562.6	T	1	
2cko	C2	2	1	0	2006	-	1	A-B	A-A	2285.7	I	1	
2ckp	C2	2	1	0	2006	-	1	A-B	A-A	1990.2	I	1	
2ckq	C2	2	1	0	2006	-	1	A-B	A-A	2118.5	I	1	
2ckr	M	1	1	1	2007	-	-						
2cks	M	1	1	0	2007	-	-						
2ckw	M	1	1	0	2006	-	-						
2ckx	M	1	1	1	2007	-	-						
2ckz	M	2	2	1	2006	-	2	A-B	A-B	2870.3	T	1	
2cl0	C3	3	1	0	2006	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"731.3,731.3,731.3"	"H,H,H"	"1,1,1"	
2cl2	M	1	1	0	2006	-	-						
2cl3	C2	2	1	0	2006	-	1	A-B	A-A	2800.5	I	1	
2cl4	M	1	1	0	2006	-	-						
2cl5	M	1	1	0	2006	-	-						
2cl6	M	1	1	0	2006	-	-						
2cl7	M	1	1	0	2006	-	-						
2cl8	C2	2	1	0	2007	-	1	A-B	A-A	1603.7	I	1	
2cla	C3	3	1	0	1990	C	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"2209.5,2209.5,2209.5"	"H,H,H"	"1,1,1"	
2clb	Ts	12	1	1	2006	-	31	"A-B,A-C,A-E,A-F,A-I,B-C,B-D,B-I,B-K,C-D,C-F,C-H,D-H,D-K,D-L,E-F,E-G,E-I,E-J,F-G,F-H,G-H,G-J,G-L,H-L,I-J,I-K,J-K,J-L,K-L"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"2624.5,1860.4,1018.7,1860.4,1018.7,1018.7,1018.7,1860.4,1860.4,1018.7,1860.4,2624.5,1860.4,2624.5,1860.4,2624.5,1860.4,1018.7,1860.4,1018.7,1018.7,1018.7,1860.4,2624.5,1860.4,2624.5,1860.4,1018.7,1018.7,1018.7"	"I,H,H,H,H,H,H,H,H,H,H,I,H,I,H,I,H,H,H,H,H,H,H,I,H,I,H,H,H,H"	"1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0"	
2clc	M	1	1	0	2006	-	-						
2cld	M	1	1	0	2006	-	-						
2cle	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2625.3,3236.2,2625.3"	"T,I,T"	"1,1,1"	
2clf	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2506.9,3287.1,2506.9"	"T,I,T"	"1,1,1"	
2clh	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2788.2,3401.3,2788.2"	"T,I,T"	"1,1,1"	
2cli	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2733.4,3349.3,2733.4"	"T,I,T"	"1,1,1"	
2clk	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2788.5,3296.5,2788.5"	"T,I,T"	"1,1,1"	
2cll	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2704.7,3211.9,2704.7"	"T,I,T"	"1,1,1"	
2clm	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2530.6,3244.5,2530.6"	"T,I,T"	"1,1,1"	
2clo	C2	4	2	0	2007	-	11	"A-B,B-D,C-D"	"A-D,D-D,A-D"	"2775.7,3209.3,2775.7"	"T,I,T"	"1,1,1"	
2clp	C2	2	1	0	2006	-	1	A-B	A-A	1740.3	I	1	
2clq	C2	2	1	1	2006	-	1	A-B	A-A	1873.7	I	1	
2clr	M	2	2	0	1995	-	2	A-B	A-B	2731.3	T	1	
2cls	M	1	1	0	2006	-	-						
2clt	M	1	1	0	2006	-	-						
2clu	Os	24	1	0	2006	-	18	"A-B,A-C,A-D,A-E,A-F,B-C,B-F,B-I,B-J,C-D,C-J,C-L,D-E,D-G,D-N,E-G,E-K,E-M,F-H,F-I,F-M,G-K,G-N,G-R,H-I,H-M,H-P,H-S,I-S,I-T,J-L,J-O,J-T,K-M,K-P,K-U,L-N,L-O,L-Q,M-P,N-Q,N-R,O-Q,O-T,O-V,P-U,P-X,Q-R,Q-W,R-U,R-W,S-T,S-V,S-X,T-V,U-W,U-X,V-W,V-X,W-X"	"S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S"	"1338.9,1338.9,3072.5,1084.3,1084.3,1338.9,3072.5,1084.3,1084.3,1084.3,3072.5,1084.3,1338.9,1338.9,1084.3,1338.9,3072.5,1084.3,1338.9,1338.9,1084.3,1084.3,3072.5,1084.3,1338.9,3072.5,1084.3,1084.3,3072.5,1084.3,1338.9,1338.9,1084.3,1338.9,1338.9,1084.3,1084.3,1338.9,3072.5,1338.9,1338.9,1338.9,1084.3,3072.5,1084.3,3072.5,1084.3,1338.9,1084.3,1084.3,3072.5,1338.9,1338.9,1084.3,1338.9,1338.9,1338.9,1084.3,3072.5,1338.9"	"H,H,I,H,H,H,I,H,H,H,I,H,H,H,H,H,I,H,H,H,H,H,I,H,H,I,H,H,I,H,H,H,H,H,H,H,H,H,I,H,H,H,H,I,H,I,H,H,H,H,I,H,H,H,H,H,H,H,I,H"	"1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1"	
2clv	M	2	2	0	2006	-	2	A-B	A-B	2214.9	T	1	
2clw	M	1	1	0	2007	-	-						
2clx	M	1	1	0	2006	C	-						
2cly	M	3	3	1	2006	-	5	"A-B,A-C,B-C"	"A-B,A-C,B-C"	"5617.9,2995.9,1024.1"	"T,T,T"	"1,1,0"	
2clz	M	2	2	0	2006	-	2	A-B	A-B	2286.4	T	1	
2cm0	M	1	1	0	2006	-	-						
2cm1	M	1	1	0	2007	-	-						
2cm2	M	1	1	0	2006	C	-						
2cm4	M	1	1	0	2007	-	-						
2cm5	M	1	1	0	2006	-	-						
2cm6	M	1	1	1	2006	-	-						
2cm7	M	1	1	0	2006	C	-						
2cm8	M	1	1	0	2006	C	-						
2cm9	M	1	1	1	2007	-	-						
2cma	M	1	1	0	2006	C	-						
2cmb	M	1	1	0	2006	C	-						
2cmc	M	1	1	0	2006	C	-						
2cmd	C2	2	1	0	1993	C	1	A-B	A-A	3016.4	I	1	
2cme	C2	2	1	1	2006	-	1	A-B	A-A	3113.1	I	1	
2cmg	C2	2	1	1	2007	-	1	A-B	A-A	3548.6	I	1	
2cmh	D2	4	1	0	2007	-	4	"A-B,A-D,B-C,C-D"	"A-A,A-A,A-A,A-A"	"3818.6,739.9,739.9,3818.6"	"I,I,I,I"	"1,1,1,1"	
2cmj	C2	2	1	0	2007	-	1	A-B	A-A	7706	I	1	
2cmk	M	1	1	0	1999	-	-						
2cml	C4	4	1	1	2007	-	10	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"3447.7,3447.7,3447.7,3447.7"	"H,H,H,H"	"1,1,1,1"	
2cmm	M	1	1	0	1994	C	-						
2cmn	D3a	6	1	0	2007	E	9	"A-D,A-E,A-F,B-C,B-E,B-F,C-D,C-F,D-E"	"F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F,F-F"	"777.6,777.6,1095.8,777.6,1095.8,777.6,1095.8,777.6,777.6"	"H,H,I,H,I,H,I,H,H"	"1,1,1,1,1,1,1,1,1"	
2cmo	C2	2	1	0	2006	C	1	A-B	A-A	1784.9	I	1	
2cmp	M	1	1	1	2007	-	-						
2cmt	M	1	1	0	2007	-	-						
2cmu	C2	2	1	1	2006	-	1	A-B	A-A	1499.6	I	1	
2cmv	C2	2	1	0	2007	-	1	A-B	A-A	7553.6	I	1	
2cmw	M	1	1	0	2006	-	-						
2cmy	M	1	1	0	2007	C	-						
2cmz	C3	3	1	0	2006	-	6	"A-B,A-C,B-C"	"A-A,A-A,A-A"	"3999.7,3999.7,3999.7"	"H,H,H"	"1,1,1"	
2cn1	C2	2	1	0	2006	-	1	A-B	A-A	1966.1	I	1	
2cn2	M	1	1	0	2006	-	-						
2cn3	M	1	1	1	2006	-	-						
2cn4	C2	2	1	0	2006	-	1	A-B	A-A	8461.5	I	1	
2cn5	C2	2	1	0	2006	-	1	A-B	A-A	2699.9	I	1	
2cn6	Os	24	1	0	2006	-	18	"A-B,A-C,A-D,A-E,A-F,B-C,B-F,B-I,B-J,C-D,C-J,C-L,D-E,D-G,D-N,E-G,E-K,E-M,F-H,F-I,F-M,G-K,G-N,G-R,H-I,H-M,H-P,H-S,I-S,I-T,J-L,J-O,J-T,K-M,K-P,K-U,L-N,L-O,L-Q,M-P,N-Q,N-R,O-Q,O-T,O-V,P-U,P-X,Q-R,Q-W,R-U,R-W,S-T,S-V,S-X,T-V,U-W,U-X,V-W,V-X,W-X"	"S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S"	"1422.7,1422.7,3094.2,1193.1,1193.1,1422.7,3094.2,1193.1,1193.1,1193.1,3094.2,1193.1,1422.7,1422.7,1193.1,1422.7,3094.2,1193.1,1422.7,1422.7,1193.1,1193.1,3094.2,1193.1,1422.7,3094.2,1193.1,1193.1,3094.2,1193.1,1422.7,1422.7,1193.1,1422.7,1422.7,1193.1,1193.1,1422.7,3094.2,1422.7,1422.7,1422.7,1193.1,3094.2,1193.1,3094.2,1193.1,1422.7,1193.1,1193.1,3094.2,1422.7,1422.7,1193.1,1422.7,1422.7,1422.7,1193.1,3094.2,1422.7"	"H,H,I,H,H,H,I,H,H,H,I,H,H,H,H,H,I,H,H,H,H,H,I,H,H,I,H,H,I,H,H,H,H,H,H,H,H,H,I,H,H,H,H,I,H,I,H,H,H,H,I,H,H,H,H,H,H,H,I,H"	"1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1"	
2cn7	Os	24	1	0	2006	-	18	"A-B,A-C,A-D,A-E,A-F,B-C,B-F,B-I,B-J,C-D,C-J,C-L,D-E,D-G,D-N,E-G,E-K,E-M,F-H,F-I,F-M,G-K,G-N,G-R,H-I,H-M,H-P,H-S,I-S,I-T,J-L,J-O,J-T,K-M,K-P,K-U,L-N,L-O,L-Q,M-P,N-Q,N-R,O-Q,O-T,O-V,P-U,P-X,Q-R,Q-W,R-U,R-W,S-T,S-V,S-X,T-V,U-W,U-X,V-W,V-X,W-X"	"S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S,S-S"	"1333.1,1333.1,3095.2,1147.0,1147.0,1333.1,3095.2,1147.0,1147.0,1147.0,3095.2,1147.0,1333.1,1333.1,1147.0,1333.1,3095.2,1147.0,1333.1,1333.1,1147.0,1147.0,3095.2,1147.0,1333.1,3095.2,1147.0,1147.0,3095.2,1147.0,1333.1,1333.1,1147.0,1333.1,1333.1,1147.0,1147.0,1333.1,3095.2,1333.1,1333.1,1333.1,1147.0,3095.2,1147.0,3095.2,1147.0,1333.1,1147.0,1147.0,3095.2,1333.1,1333.1,1147.0,1333.1,1333.1,1333.1,1147.0,3095.2,1333.1"	"H,H,I,H,H,H,I,H,H,H,I,H,H,H,H,H,I,H,H,H,H,H,I,H,H,I,H,H,I,H,H,H,H,H,H,H,H,H,I,H,H,H,H,I,H,I,H,H,H,H,I,H,H,H,H,H,H,H,I,H"	"1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1"	
2cn8	C2	2	1	0	2006	-	1	A-B	A-A	2347.3	I	1	
2cna	D2	4	1	0	1977	C	4	"A-B,A-C,B-D,C-D"	"A-A,A-A,A-A,A-A"	"2297.2,2913.0,2913.0,2297.2"	"I,I,I,I"	"1,1,1,1"	
2cnb	C2	2	1	0	2006	-	1	A-B	A-A	2054	I	1	
2cnc	M	1	1	0	2006	-	-						
2cnd	M	1	1	0	1995	-	-						
2cne	M	1	1	0	2006	C	-						
2cnf	M	1	1	0	2006	C	-						
2cng	M	1	1	0	2006	C	-						
2cnh	M	1	1	0	2006	C	-						
2cni	M	1	1	0	2006	C	-						
2cnk	C2	4	2	0	2007	-	11	"A-B,A-D,A-E,B-D,B-E,D-E"	"A-E,A-A,A-E,E-A,E-E,A-E"	"4423.3,569.4,854.5,854.5,3937.7,4423.3"	"T,I,T,T,I,T"	"1,0,0,0,1,1"	
2cnl	C2	4	2	0	2007	-	11	"A-B,A-D,A-E,B-D,B-E,D-E"	"A-E,A-A,A-E,E-A,E-E,A-E"	"4455.3,677.8,915.2,915.2,3926.3,4455.3"	"T,I,T,T,I,T"	"1,0,0,0,1,1"	
2cnm	M	1	1	0	2007	-	-						
2cnn	C2	4	2	0	2007	-	11	"A-B,A-D,A-E,B-D,B-E,D-E"	"A-E,A-A,A-E,E-A,E-E,A-E"	"4351.8,579.3,881.9,881.9,3951.9,4351.8"	"T,I,T,T,I,T"	"1,0,0,0,1,1"	
2cnq	M	1	1	0	2006	-	-						
2cns	M	1	1	1	2007	-	-						
2cnt	M	1	1	0	2007	-	-						
2cnu	M	1	1	0	2006	-	-						
2cnv	M	1	1	0	2006	-	-						
2cnw	M	2	2	1	2006	-	2	A-B	A-B	3142.9	T	1	
2cnx	M	1	1	0	2006	-	-						
